id,prefecture_ja,prefecture_en,dish_ja,dish_en,category_en,description_en,description_ja,image_path,source,region
13,長崎,Nagasaki,皿うどん,Sara Udon,Noodle,Crispy fried noodles topped with stir-fry vegetables and sauce.,パリパリに揚げた麺に、野菜や魚介類のあんをかけた長崎名物。太麺バージョンもある。,static/uploads/Sara_Udon_Nagasaki_nagasaki_7_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_7_nagasaki.html,Kyushu
14,佐賀,Saga,須古ずし,Suko-zushi,Fermented Sushi,Fermented sushi pressed in a wooden mold.,魚と米を発酵させた佐賀の郷土寿司。木枠に押し固めて独特の酸味を出す伝統的な保存食。,static/uploads/Suko-zushi_Saga_saga_6_1.JPG,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_6_saga.html,Kyushu
15,高知,Kochi,葉にんにくのぬた,Ha-ninniku no Nuta,Vinegared Side Dish,Blanched garlic leaves mixed with miso-vinegar sauce.,葉にんにくを茹で、酢味噌で和えた高知の郷土料理。さっぱりとした風味で酒の肴にも合う。,static/uploads/Ha-ninniku_no_Nuta_Kochi_kochi_04_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/haninnikunonuta_kochi.html,Shikoku
16,愛媛,Ehime,たこ飯,Tako-meshi,Rice,Rice cooked with octopus and soy-based seasoning.,タコと醤油で炊き込んだ愛媛の郷土料理。旨味がご飯全体に染み渡り、祭りや家庭で楽しまれる。,static/uploads/Tako-meshi_Ehime_ehime_10_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tako_meshi_ehime.html,Shikoku
17,香川,Kagawa,島の茶粥,Shima no Chagayu,Rice Porridge,Rice porridge cooked with tea instead of water.,茶で米を炊いた香川の郷土料理。素朴で優しい味わいが特徴。,static/uploads/Shima_no_Chagayu_Kagawa_kagawa_21_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/shima_no_chagayu_kagawa.html,Shikoku
18,徳島,Tokushima,いりこ飯,Iriko-meshi,Rice,Rice cooked with dried sardines (iriko).,いりこと呼ばれる小魚を一緒に炊き込んだ徳島の郷土料理。魚の旨味がご飯に染み込む素朴な味。,static/uploads/Iriko-meshi_Tokushima_tokushima_10_2.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/44_10_tokushima.html,Shikoku
19,山口,Yamaguchi,瓦そば,Kawara Soba,Noodle,Buckwheat noodles stir-fried on a heated roof tile.,茶そばを瓦の上で焼き、牛肉や錦糸卵をのせた山口のユニークな郷土料理。香ばしさが魅力。,static/uploads/Kawara_Soba_Yamaguchi_yamaguchi_30_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/43_30_yamaguchi.html,Chugoku
20,広島,Hiroshima,かきの土手鍋,Kaki no Dotenabe,Hot Pot,Hot pot with oysters and miso around the pot rim.,広島名物の牡蠣鍋。土手のように味噌を鍋の縁に塗り、少しずつ溶かしながら食べる冬の料理。,static/uploads/Kaki_no_Dotenabe_Hiroshima_hiroshima_4_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_4_hiroshima.html,Chugoku
21,鳥取,Tottori,じゃぶ,Jabu,Regional Simmered Dish,Simmered dish made without adding water initially.,肉や野菜、豆腐から出る水分だけで煮込む鳥取の郷土料理。名前の由来は「じゃぶじゃぶ」という音から。,static/uploads/Jabu_Tottori_tottori_21_2.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/jabu_tottori.html,Chugoku
22,島根,Shimane,出雲そば,Izumo Soba,soba noodle,"Unlike typical soba, it is made with whole buckwheat seeds, giving the noodles a darker color and richer flavor. It is often served in a unique warigo style—layered in round lacquer boxes, with toppings and dipping sauce added to each tier. Known for its robust taste and distinctive presentation, Izumo Soba is a culinary symbol of the Izumo region.","一般的なそばとは異なり、そばの実を丸ごと挽いて作られるため、麺の色が濃く風味も豊かです。特徴的な「割子（わりご）」スタイルで提供され、丸い漆器の段重ねに盛られ、薬味やつゆをそれぞれの段にかけて味わいます。力強い味わいと独特の提供方法で知られ、出雲地方を代表する郷土料理です。",static/uploads/Izumo_Soba_Shimane_shimane_20_1.jpg,,Chugoku
